feature,label,description,input_type,options
Age Group,Age Group,Patient age category at the time of discharge.,select,"[{""label"": ""0-17"", ""value"": ""0-17""}, {""label"": ""18-29"", ""value"": ""18-29""}, {""label"": ""30-49"", ""value"": ""30-49""}, {""label"": ""50-69"", ""value"": ""50-69""}, {""label"": ""70 or Older"", ""value"": ""70 or Older""}]"
Gender,Gender,Patient gender recorded in the discharge record.,select,"[{""label"": ""F"", ""value"": ""F""}, {""label"": ""M"", ""value"": ""M""}, {""label"": ""U"", ""value"": ""U""}]"
Race,Race,Patient race category recorded in the dataset.,select,"[{""label"": ""Black/African American"", ""value"": ""Black/African American""}, {""label"": ""Multi-racial"", ""value"": ""Multi-racial""}, {""label"": ""Other Race"", ""value"": ""Other Race""}, {""label"": ""White"", ""value"": ""White""}]"
Ethnicity,Ethnicity,Patient ethnicity category recorded in the dataset.,select,"[{""label"": ""Multi-ethnic"", ""value"": ""Multi-ethnic""}, {""label"": ""Not Span/Hispanic"", ""value"": ""Not Span/Hispanic""}, {""label"": ""Spanish/Hispanic"", ""value"": ""Spanish/Hispanic""}, {""label"": ""Unknown"", ""value"": ""Unknown""}]"
Type of Admission,Admission Type,"Indicates whether the admission was emergency, urgent, elective, or another type.",select,"[{""label"": ""Elective"", ""value"": ""Elective""}, {""label"": ""Emergency"", ""value"": ""Emergency""}, {""label"": ""Newborn"", ""value"": ""Newborn""}, {""label"": ""Not Available"", ""value"": ""Not Available""}, {""label"": ""Trauma"", ""value"": ""Trauma""}, {""label"": ""Urgent"", ""value"": ""Urgent""}]"
