model,dataset,split,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1
XGBoost,SPARCS 2024,validation,0.5499999999999999,0.866514860091002,0.6805669401218931,0.7990884208968982,0.5645123019639338,0.7298416593907072,0.6366181238100139
XGBoost,SPARCS 2024,test,0.5499999999999999,0.8658574401378306,0.6796120267278013,0.7983580214317579,0.5633941749842903,0.7277970229274232,0.6351291798633448
