model,dataset,split,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1
CatBoost,SPARCS 2024,validation,0.5999999999999999,0.8698249977665945,0.6879355675461164,0.813203102327884,0.5951685717987304,0.7046393090591595,0.6452940890452034
CatBoost,SPARCS 2024,test,0.5999999999999999,0.8691953980052393,0.6865525682152095,0.8130274861840727,0.5951674438321323,0.7023776936654617,0.6443434212235355
