model,dataset,split,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1
LightGBM,SPARCS 2024,validation,0.5999999999999999,0.8790068560967914,0.7126813539517054,0.8177297014322376,0.6015809112333071,0.7228567383250348,0.656666345112919
LightGBM,SPARCS 2024,test,0.5999999999999999,0.878119525989046,0.7111659540917288,0.8174795378606481,0.6013905621304104,0.7209159642449242,0.6557512170411519
